,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
246,双河市,新疆维吾尔自治区,0.0,3.186398662116362,0.082531842459585,SH,XJ
247,双鸭山市,黑龙江省,0.561728965010943,13.56747268249538,2.591769768464537,SY,HL
248,朔州市,山西省,0.596554259124552,6.253342202246357,1.115005417526497,SZ,SX
249,四平市,吉林省,0.636169549348028,10.459406331656671,1.139366848400045,SP,JL
250,松原市,吉林省,0.621776347533714,11.275536379519927,2.406743331460543,SY,JL
251,苏州市,江苏省,0.669673875898568,6.122782766415899,0.8216087808676,SZ,JS
252,宿迁市,江苏省,0.597089003786562,5.870152423558309,0.829822587126036,SQ,JS
253,宿州市,安徽省,0.545362638203057,8.895893493363467,0.968451329914269,SZ,AH
254,绥化市,黑龙江省,0.527547397440779,17.25261971455993,4.120043042513721,SH,HL
255,随州市,湖北省,0.627250286653289,6.767544621207643,0.915707381521084,SZ,HB
256,遂宁市,四川省,0.647841906966555,4.979600677007678,0.500804661990184,SN,SC
257,塔城地区,新疆维吾尔自治区,0.495985374507296,27.047298140027856,10.92445629778722,TC,XJ
258,台湾省,台湾省,0.0,15.775089662221028,3.206483647057067,TW,TW
259,台州市,浙江省,0.588077343134667,11.867635785978663,0.895637095955447,TZ,ZJ
260,太原市,山西省,0.607776692541798,5.826129883448271,0.70791519018351,TY,SX
261,泰安市,山东省,0.62612797204207,7.553304198228529,0.77555690907856,TA,SD
262,泰州市,江苏省,0.591779550276472,5.371831388400821,0.555896681454081,TZ,JS
263,唐山市,河北省,0.694129111264335,10.046004058908103,1.45110616442077,TS,HB
264,天津市,天津市,0.621119342698104,11.483071206267851,1.242278709181019,TJ,TJ
265,天门市,湖北省,0.76086357484471,3.377102391226084,0.245995197934175,TM,HB
266,天水市,甘肃省,0.565737180229009,9.110124810442535,1.403802985018205,TS,GS
267,铁岭市,辽宁省,0.635974863840265,8.702210701394065,1.425004892537118,TL,LN
268,通化市,吉林省,0.607272208148665,10.180836031274351,1.693798440023792,TH,JL
269,通辽市,内蒙古自治区,0.744337765876464,18.49157086649456,6.585377882104896,TL,NM
270,铜川市,陕西省,0.626858166710974,3.89609975642362,0.384603310466437,TC,SX
271,铜陵市,安徽省,0.638571781247637,3.61468462702031,0.28016092824364,TL,AH
272,铜仁市,贵州省,0.528230647114943,12.276355637157057,1.651945801164275,TR,GZ
273,图木舒克市,新疆维吾尔自治区,0.0,3.445157072168533,0.201097157436995,TM,XJ
274,吐鲁番市,新疆维吾尔自治区,0.675574639407478,14.665467497037293,7.627444028447636,TL,XJ
275,屯昌县,海南省,0.611060175462977,2.080667931832629,0.105189614496667,TC,HN
276,万宁市,海南省,0.661528676340592,3.173701233449554,0.161547627777627,WN,HN
277,威海市,山东省,0.687244392133945,7.77380549005969,0.569793552147698,WH,SD
278,潍坊市,山东省,0.617974747638818,9.006741068547576,1.599223956678414,WF,SD
279,渭南市,陕西省,0.598722083160298,8.19582638702601,1.281407207167776,WN,SX
280,温州市,浙江省,0.593109046323054,11.63749807322682,1.070791942084502,WZ,ZJ
281,文昌市,海南省,0.637110913846738,3.848603844606518,0.203986104588917,WC,HN
282,文山壮族苗族自治州,云南省,0.563804754028611,11.872968426259492,2.780522215422321,WS,YN
283,乌海市,内蒙古自治区,0.731047871834961,2.989589022823029,0.173173019217406,WH,NM
284,乌兰察布市,内蒙古自治区,0.604185854972179,16.687556198425757,5.888943878704421,WL,NM
285,乌鲁木齐市,新疆维吾尔自治区,0.58236542580636,10.140875135084723,1.541459137926388,WL,XJ
286,无锡市,江苏省,0.605772419129761,5.708385516538037,0.439209156336242,WX,JS
287,芜湖市,安徽省,0.576492274599855,5.935840370919199,0.567661082171204,WH,AH
288,吴忠市,宁夏回族自治区,0.500187475436301,12.671798885427746,1.706013999819584,WZ,NX
289,梧州市,广西壮族自治区,0.529310117541274,9.111163977292629,1.110609522394035,WZ,GX
290,五家渠市,新疆维吾尔自治区,0.561380410573758,1.984962724334639,0.083440866696919,WJ,XJ
