Shape_Length,Shape_Area,city,Level1,Level2,Level3,UID,StationNum,Ratio_1,Ratio_1Type
11.564125993141227,4.820426238174584,US.AZ.CO,US,Arizona,Coconino,US.AZ.CO,0,,
7.471273811760786,1.204742849146748,US.AZ.GI,US,Arizona,Gila,US.AZ.GI,0,,
5.090291458721468,1.165558677410323,US.AZ.GA,US,Arizona,Graham,US.AZ.GA,0,,
3.370334061173424,0.461281036666383,US.AZ.GE,US,Arizona,Greenlee,US.AZ.GE,0,,
5.710200327692379,1.135057857601715,US.AZ.LA,US,Arizona,La Paz,US.AZ.LA,0,,
8.036233760443602,2.314279110348015,US.AZ.MA,US,Arizona,Maricopa,US.AZ.MA,0,,
10.137272646216005,3.477690646957452,US.AZ.MO,US,Arizona,Mohave,US.AZ.MO,0,,
8.729079364833405,2.569539371523935,US.AZ.NA,US,Arizona,Navajo,US.AZ.NA,0,,
8.143081795612725,2.281077801534165,US.AZ.PM,US,Arizona,Pima,US.AZ.PM,0,,
5.817491106452985,1.340851092665282,US.AZ.PN,US,Arizona,Pinal,US.AZ.PN,0,,
2.551586621087812,0.304989765928425,US.AZ.SA,US,Arizona,Santa Cruz,US.AZ.SA,0,,
7.345345228095710,2.070490373247955,US.AZ.YA,US,Arizona,Yavapai,US.AZ.YA,0,,
5.486637512438487,1.379471282216416,US.AZ.YU,US,Arizona,Yuma,US.AZ.YU,0,,
2.865016315904524,0.262137757998708,US.AR.AR,US,Arkansas,Arkansas,US.AR.AR,0,,
2.277464464214074,0.234675658625862,US.AR.AS,US,Arkansas,Ashley,US.AR.AS,0,,
2.092663309256866,0.151604252095099,US.AR.BA,US,Arkansas,Baxter,US.AR.BA,0,,
2.238371107698915,0.227213406191657,US.AR.BE,US,Arkansas,Benton,US.AR.BE,0,,
1.672819476179948,0.156281785382100,US.AR.BO,US,Arkansas,Boone,US.AR.BO,0,,
2.173616391896958,0.164438114074061,US.AR.BR,US,Arkansas,Bradley,US.AR.BR,0,,
2.153573641082533,0.158553947003428,US.AR.CA,US,Arkansas,Calhoun,US.AR.CA,0,,
1.918249182996204,0.165608508163277,US.AR.CL,US,Arkansas,Carroll,US.AR.CL,0,,
2.694205703404279,0.173051760307810,US.AR.CT,US,Arkansas,Chicot,US.AR.CT,0,,
2.579376073115659,0.222982241592256,US.AR.CK,US,Arkansas,Clark,US.AR.CK,0,,
2.127475060518486,0.165651383318109,US.AR.CY,US,Arkansas,Clay,US.AR.CY,0,,
1.614851695362070,0.152607218758436,US.AR.CB,US,Arkansas,Cleburne,US.AR.CB,0,,
1.695978079201212,0.150875636792146,US.AR.CV,US,Arkansas,Cleveland,US.AR.CV,0,,
1.834765866805839,0.191490605498351,US.AR.CI,US,Arkansas,Columbia,US.AR.CI,0,,
1.978729971091024,0.146017159111266,US.AR.CN,US,Arkansas,Conway,US.AR.CN,0,,
2.070965752667985,0.184248009193752,US.AR.CG,US,Arkansas,Craighead,US.AR.CG,0,,
2.155126309137864,0.155914505463130,US.AR.CW,US,Arkansas,Crawford,US.AR.CW,0,,
2.430607392927913,0.162525785913609,US.AR.CD,US,Arkansas,Crittenden,US.AR.CD,0,,
1.687275088066584,0.159592026535895,US.AR.CO,US,Arkansas,Cross,US.AR.CO,0,,
2.198622047698256,0.169226284623400,US.AR.DA,US,Arkansas,Dallas,US.AR.DA,0,,
3.550029228800951,0.206718867230946,US.AR.DE,US,Arkansas,Desha,US.AR.DE,0,,
1.906513314321815,0.209641269349336,US.AR.DR,US,Arkansas,Drew,US.AR.DR,0,,
1.982665677928605,0.169910457509136,US.AR.FA,US,Arkansas,Faulkner,US.AR.FA,0,,
2.126864017654805,0.159652455562102,US.AR.FR,US,Arkansas,Franklin,US.AR.FR,0,,
1.899481800476786,0.162132282439959,US.AR.FU,US,Arkansas,Fulton,US.AR.FU,0,,
2.003953674574034,0.186917839447113,US.AR.GL,US,Arkansas,Garland,US.AR.GL,0,,
1.778154042491134,0.160281737199864,US.AR.GN,US,Arkansas,Grant,US.AR.GN,0,,
1.902468452684081,0.149834155110140,US.AR.GE,US,Arkansas,Greene,US.AR.GE,0,,
2.297740379358201,0.186871190892720,US.AR.HE,US,Arkansas,Hempstead,US.AR.HE,0,,
2.215546454381261,0.157820669456385,US.AR.HT,US,Arkansas,Hot Spring,US.AR.HT,0,,
2.081804676522022,0.150587894558535,US.AR.HW,US,Arkansas,Howard,US.AR.HW,0,,
2.187584628061238,0.199152738303698,US.AR.IN,US,Arkansas,Independence,US.AR.IN,0,,
1.870041935729497,0.152430579178917,US.AR.IZ,US,Arkansas,Izard,US.AR.IZ,0,,
2.263553802545768,0.165392800889040,US.AR.JA,US,Arkansas,Jackson,US.AR.JA,0,,
2.720481716072880,0.231451105289111,US.AR.JE,US,Arkansas,Jefferson,US.AR.JE,0,,
2.048178996655014,0.175246060172280,US.AR.JO,US,Arkansas,Johnson,US.AR.JO,0,,
2.278873599689364,0.135828913816552,US.AR.LF,US,Arkansas,Lafayette,US.AR.LF,0,,
1.950839403510590,0.155543952028729,US.AR.LW,US,Arkansas,Lawrence,US.AR.LW,0,,
2.493303766169892,0.157301228175782,US.AR.LE,US,Arkansas,Lee,US.AR.LE,0,,
1.966422326527566,0.146837668771655,US.AR.LC,US,Arkansas,Lincoln,US.AR.LC,0,,
