city,distance,totalNum,NumAll,ratioAll,ratioAll_Baseline,NumAll_PaR,totalAll_PaR,ratioAll_PaR,NumNormal,ratioNormal,ratioNormal_Baseline,NumNormal_PaR,totalNormal_PaR,ratioNormal_PaR,NumTerminal,ratioTerminal,ratioTerminal_Baseline,NumTerminal_PaR,totalTerminal_PaR,ratioTerminal_PaR,NumTrans,ratioTrans,ratioTrans_Baseline,NumTrans_PaR,totalTrans_PaR,ratioTrans_PaR
CN.AH.HF,110.0,1264.0,13.0,0.010284810126582278,0.0005677034353636283,207.0,19577.0,0.010573632323645095,11.0,0.00870253164556962,0.0004149878891250859,148.0,19577.0,0.007559891709659294,0.0,0.0,3.9838838707871424e-05,6.0,19577.0,0.0003064820963375389,2.0,0.0015822784810126582,0.00011619661093447685,55.0,19577.0,0.0028094192164274403
CN.AH.HF,120.0,1264.0,14.0,0.011075949367088608,0.0006756140049951754,247.0,19577.0,0.012616846299228686,12.0,0.00949367088607595,0.0004938698838424599,178.0,19577.0,0.009092302191346989,0.0,0.0,4.741150989298247e-05,9.0,19577.0,0.00045972314450630844,2.0,0.0015822784810126582,0.00013828357054756346,63.0,19577.0,0.003218062011544159
CN.AH.HF,130.0,1264.0,15.0,0.011867088607594937,0.0007929081081516211,298.0,19577.0,0.015221944118097767,13.0,0.010284810126582278,0.0005796111921344666,222.0,19577.0,0.011339837564488942,0.0,0.0,5.5642674176426044e-05,9.0,19577.0,0.00045972314450630844,2.0,0.0015822784810126582,0.00016229113212352098,70.0,19577.0,0.0035756244572712876
CN.AH.HF,140.0,1264.0,16.0,0.012658227848101266,0.0009195857366341614,362.0,19577.0,0.018491086479031516,14.0,0.011075949367088608,0.0006722117939679781,264.0,19577.0,0.013485212238851714,0.0,0.0,6.453233306647758e-05,11.0,19577.0,0.0005618838432854881,2.0,0.0015822784810126582,0.00018821930335491342,91.0,19577.0,0.004648311794452674
CN.AH.HF,150.0,1264.0,20.0,0.015822784810126583,0.001055646881428219,412.0,19577.0,0.02104510394851101,17.0,0.013449367088607595,0.0007716716977032746,306.0,19577.0,0.015630586913214485,0.0,0.0,7.408048214364147e-05,11.0,19577.0,0.0005618838432854881,3.0,0.0023734177215189874,0.00021606807537863338,99.0,19577.0,0.005056954589569392
CN.AH.HF,160.0,1264.0,24.0,0.0189873417721519,0.0012010915639813883,477.0,19577.0,0.024365326658834348,21.0,0.01661392405063291,0.0008779909086681682,360.0,19577.0,0.018388925780252335,0.0,0.0,8.428712811064053e-05,12.0,19577.0,0.0006129641926750778,3.0,0.0023734177215189874,0.0002458374545929534,110.0,19577.0,0.0056188384328548805
CN.AH.HF,170.0,1264.0,26.0,0.020569620253164556,0.0013559197866660551,544.0,19577.0,0.027787710067936865,22.0,0.01740506329113924,0.000991169433489791,409.0,19577.0,0.02089186290034224,1.0,0.0007911392405063291,9.515226600187186e-05,14.0,19577.0,0.0007151248914542576,4.0,0.0031645569620253164,0.00027752744273753464,127.0,19577.0,0.006487204372477908
CN.AH.HF,180.0,1264.0,28.0,0.022151898734177215,0.0015201315166001438,617.0,19577.0,0.03151657557337692,23.0,0.01819620253164557,0.0011112072485308716,459.0,19577.0,0.02344588036982173,1.0,0.0007911392405063291,0.00010667589734484304,16.0,19577.0,0.0008172855902334372,5.0,0.003955696202531646,0.0003111380283586311,149.0,19577.0,0.0076109720590488835
CN.AH.HF,190.0,1264.0,35.0,0.027689873417721517,0.0016937267917784009,683.0,19577.0,0.03488787863308985,29.0,0.022943037974683545,0.001238104377206173,509.0,19577.0,0.02599989783930122,1.0,0.0007911392405063291,0.00011885802308242497,18.0,19577.0,0.0009194462890126169,6.0,0.004746835443037975,0.00034666922609131757,165.0,19577.0,0.00842825764928232
CN.AH.HF,200.0,1264.0,42.0,0.03322784810126582,0.0018767055857313467,745.0,19577.0,0.03805486029524442,36.0,0.028481012658227847,0.0013718608068215461,550.0,19577.0,0.028094192164274404,1.0,0.0007911392405063291,0.0001316986369648891,20.0,19577.0,0.0010216069877917965,6.0,0.004746835443037975,0.00038412102785665987,186.0,19577.0,0.009500944986463707
